id,invoice_id,line_no,raw_description,raw_upc,qty,unit_price,line_total,item_id,item_upc,item_description,match_method,match_score,cost_delta_pct,notes,translated_qty
1,1,1,PINNACLE CHOCO WHIPP 750,89708460804,6.0,11.29,67.74,8703,89708460804,PINNACLE CHOCO WHIPP 750ML,upc,1.0,0.0,,
2,1,2,CIROC HONEY MELON VODKA 750,8807618819,6.0,29.09,174.54,22666,8807618819,CIROC HONEY MELON VODKA 750ML,upc,1.0,0.0,,
3,1,3,BELAIRE RARE ROSE 750,1349700590,6.0,26.5,159.0,11675,1349700590,BELAIRE RARE ROSE 750ML,upc,1.0,0.0,,
4,1,4,ALCHEMIST RYE WHSKY 750,5883400303,6.0,9.0,54.0,13328,5883400303,ALCHEMIST RYE WHSKY 750ML,upc,1.0,0.0,,
5,1,5,CAMARENA SILVER TEQUILA 750,85000016824,6.0,25.09,150.54,8778,85000016824,CAMARENA SILVER TEQUILA 750ML,upc,1.0,0.0,,
6,1,6,SEAGRAM  VO 750,8773700000,6.0,14.09,84.53999999999999,746,8773700000,SEAGRAM  VO 750ML,upc,1.0,0.0,,
7,1,7,MOET ICE  750,8175381802,6.0,64.09,384.54,15571,8175381802,MOET ICE  750ML,upc,1.0,0.0,,
8,1,8,JACK DANIELS GREEN LABEL 750,82184090084,6.0,23.09,138.54,7332,82184090084,JACK DANIELS GREEN LABEL 750ML,upc,1.0,0.0,,
9,1,9,KETEL ONE VODKA 750,,12.0,20.97,251.64,14915,8807618062,KETEL ONE 200ML ANNIVERSARY PK,cost+desc,0.396,0.0,,
10,1,10,MYSTERY BRAND XYZZY MOONSHINE 750,,3.0,99.99,299.97,,,,none,0.0,,,
11,2,1,A. E. DOR VSOP COGNAC 750 .,8193274203,6.0,36.33,218.0,15349,8193274203,A. E. DOR VSOP COGNAC 750ML .,upc,1.0,0.008256956485839633,,
12,2,2,GREY GOOSE VANILLA VODKA 750,8048098418,6.0,27.09,162.54,16813,8048098418,GREY GOOSE VANILLA VODKA 750ML,upc,1.0,0.0,,
13,2,3,ALIZE WILD 750,8469220404,6.0,15.99,95.94,2584,8469220404,ALIZE WILD 750ML,upc,1.0,0.0,,
14,2,4,COLUMBIA RED BLEND 750,8500002180,6.0,10.01,60.06,13345,8500002180,COLUMBIA RED BLEND 750ML,upc,1.0,0.0,,
15,2,5,VILLA JOLANDA PROSECCO 750,1564325668,6.0,8.0,48.0,13745,1564325668,VILLA JOLANDA PROSECCO 750ML,upc,1.0,0.0,,
16,2,6,DEANSTON 12YRS 750,5837113071,6.0,44.09,264.54,13190,5837113071,DEANSTON 12YRS 750ML,upc,1.0,0.0,,
17,3,1,PINNACLE CHOCO WHIPP 750,89708460804,6.0,11.29,67.74,8703,89708460804,PINNACLE CHOCO WHIPP 750ML,upc,1.0,0.0,,
18,3,2,CIROC HONEY MELON VODKA 750,8807618819,6.0,29.09,174.54,22666,8807618819,CIROC HONEY MELON VODKA 750ML,upc,1.0,0.0,,
19,3,3,BELAIRE RARE ROSE 750,1349700590,6.0,26.5,159.0,11675,1349700590,BELAIRE RARE ROSE 750ML,upc,1.0,0.0,,
20,3,4,ALCHEMIST RYE WHSKY 750,5883400303,6.0,9.0,54.0,13328,5883400303,ALCHEMIST RYE WHSKY 750ML,upc,1.0,0.0,,
21,3,5,CAMARENA SILVER TEQUILA 750,85000016824,6.0,25.09,150.54,8778,85000016824,CAMARENA SILVER TEQUILA 750ML,upc,1.0,0.0,,
22,3,6,SEAGRAM  VO 750,8773700000,6.0,14.09,84.53999999999999,746,8773700000,SEAGRAM  VO 750ML,upc,1.0,0.0,,
23,3,7,MOET ICE  750,8175381802,6.0,64.09,384.54,15571,8175381802,MOET ICE  750ML,upc,1.0,0.0,,
24,3,8,JACK DANIELS GREEN LABEL 750,82184090084,6.0,23.09,138.54,7332,82184090084,JACK DANIELS GREEN LABEL 750ML,upc,1.0,0.0,,
25,3,9,KETEL ONE VODKA 750,,12.0,20.97,251.64,14915,8807618062,KETEL ONE 200ML ANNIVERSARY PK,cost+desc,0.396,0.0,,
26,3,10,MYSTERY BRAND XYZZY MOONSHINE 750,,3.0,99.99,299.97,,,,none,0.0,,,
89,6,1,200ML BARTON VODKA 80,111510,4.0,1.49,286.08,13231,8066047208,BARTON VODKA 200ML,cost+desc,0.737,0.0,,
90,6,2,375ML CROWN ROYAL,54020,2.0,12.19,585.12,613,877600,CROWN ROYAL 375ML,desc,0.859,0.0,,
91,6,3,375ML CROWN ROYAL REGAL APPLE,85720,1.0,12.19,292.56,13469,8200077155,CROWN ROYAL APPLE 375ML,desc,0.742,0.0,,
92,6,4,375ML CROWN ROYAL VANILLA,50920,1.0,12.19,292.56,16232,8200077658,CROWN ROYAL VANILLA 375ML,desc,0.904,0.0,,
93,6,5,50ML CROWN ROYAL 6PK,54000,1.0,8.94,89.4,5197,8719902,CROWN ROYAL 50ML,desc,0.717,499.9999999999999,,
94,6,6,200ML JOHN WALKER GOLD RESERVE,11910,2.0,11.25,540.0,18847,826080,J WALKER GOLD 200 ML ,cost+desc,0.42,0.0,,
95,6,7,750ML 750 ML KETEL ONE VODKA 80,114740,5.0,18.99,1139.4,1607,8515600750,KETEL ONE CITROEN 80,cost+desc,0.477,0.0,,
96,6,8,50ML KETEL ONE VODKA 80 (PET) 12PK,114700,3.0,15.96,478.8,1874,8861030000,GORDON VODKA 80 1.75L,cost+desc,0.322,0.8079552517091299,,
97,6,9,375ML SVEDKA VODKA (PET),117120,5.0,3.57,427.7,4848,617768113752,SVEDKA VODKA 80 375ML,cost+desc,0.591,0.2808988764044884,,
98,6,10,375ML BARTON VODKA 80,111520,0.0,,0.0,13232,8066047207,BARTON VODKA 375ML,desc,0.717,,,
99,6,11,1.75LT BARTON VODKA 80,111560,0.0,,0.0,,,,none,0.0,,,
100,6,12,50ML CROWN ROYAL BLACKBERRY 6PK,72200,0.0,,0.0,24614,8200078955,CROWN ROYAL BLACKBERRY 750 ML ,desc,0.602,,,
101,6,13,50ML CROWN ROYAL REGAL APPLE 6PK,85700,0.0,,0.0,14642,824580,CROWN ROYAL APPLE  50ML,desc,0.662,,,
102,6,14,50ML JOHN WALKER BLACK (PET) 12PK,68900,0.0,,0.0,10886,891110,J WALKER BLACK 50ML,desc,0.531,,,
103,7,1,200ML BARTON VODKA 80,111510,4.0,1.49,286.08,13231,8066047208,BARTON VODKA 200ML,cost+desc,0.737,0.0,,
104,7,2,375ML CROWN ROYAL,54020,2.0,12.19,585.12,613,877600,CROWN ROYAL 375ML,desc,0.859,0.0,,
105,7,3,375ML CROWN ROYAL REGAL APPLE,85720,1.0,12.19,292.56,13469,8200077155,CROWN ROYAL APPLE 375ML,desc,0.742,0.0,,
106,7,4,375ML CROWN ROYAL VANILLA,50920,1.0,12.19,292.56,16232,8200077658,CROWN ROYAL VANILLA 375ML,desc,0.904,0.0,,
107,7,5,50ML CROWN ROYAL 6PK,54000,1.0,8.94,89.4,5197,8719902,CROWN ROYAL 50ML,desc,0.717,499.9999999999999,,
108,7,6,200ML JOHN WALKER GOLD RESERVE,11910,2.0,11.25,540.0,18847,826080,J WALKER GOLD 200 ML ,cost+desc,0.42,0.0,,
109,7,7,750ML 750 ML KETEL ONE VODKA 80,114740,5.0,18.99,1139.4,1607,8515600750,KETEL ONE CITROEN 80,cost+desc,0.477,0.0,,
