id,month,abg_sku,combo_code,upc,brand,valid_from,valid_to,description,combo_pack_price,qty_items,qty_value,qty_unit,fline_price,combo_price,total_savings,comments
10825,2026-04,13240,13245,89016016915,458793,2026-04-01,2026-04-30,CLYDE M BOUR 92 6P,199.0,1   C,1.0,C,32.59,27.07,40.53,CONTAINS: 1CS-750ML CLYDE M BOUR & 2BTS DUAL PK (ALA/BBN)
10826,2026-04,13560,13245,89016017240,608279,2026-04-01,2026-04-30,CLYDE M DL BX 6P,199.0,2   B,2.0,B,21.99,18.26,40.53,CONTAINS: 1CS-750ML CLYDE M BOUR & 2BTS DUAL PK (ALA/BBN)
10827,2026-04,13240,13247,89016016915,458793,2026-04-01,2026-04-30,CLYDE M BOUR 92 6P,180.54,3   B,3.0,B,32.59,30.09,15.0,CONTAINS: 3BT-750ML EA CLYDE MAYS BOURBON & WHISKEY
10828,2026-04,14240,13247,56160000015,601320,2026-04-01,2026-04-30,CLYDE M ALA W 85 6P,180.54,3   B,3.0,B,32.59,30.09,15.0,CONTAINS: 3BT-750ML EA CLYDE MAYS BOURBON & WHISKEY
10829,2026-04,14840,14847,793573797940,491751,2026-04-01,2026-04-30,WH PIG 10Y STR RYE6P,167.27,2   B,2.0,B,65.09,64.32,2.0,CONTAINS: 2B 750ML 10YR RYE & 1B 750ML PIGGYBACK RYE
10830,2026-04,171440,14847,850001901116,512128,2026-04-01,2026-04-30,WH PIG PIGGYBK RYE6Y,167.27,1   B,1.0,B,39.09,38.62,2.0,CONTAINS: 2B 750ML 10YR RYE & 1B 750ML PIGGYBACK RYE
10831,2026-04,14840,14848,793573797940,491751,2026-04-01,2026-04-30,WH PIG 10Y STR RYE6P,142.27,1   B,1.0,B,65.09,64.63,1.0,"CONTAINS: WHISTLE PIG 1B 750ML EA 10YR,PIGGYBK RYE & BOURBN"
10832,2026-04,171440,14848,850001901116,512128,2026-04-01,2026-04-30,WH PIG PIGGYBK RYE6Y,142.27,1   B,1.0,B,39.09,38.81,1.0,"CONTAINS: WHISTLE PIG 1B 750ML EA 10YR,PIGGYBK RYE & BOURBN"
10833,2026-04,172540,14848,810080550032,629746,2026-04-01,2026-04-30,WH PIG PIGGYBK BBN6P,142.27,1   B,1.0,B,39.09,38.81,1.0,"CONTAINS: WHISTLE PIG 1B 750ML EA 10YR,PIGGYBK RYE & BOURBN"
10834,2026-04,14840,14852,793573797940,491751,2026-04-01,2026-04-30,WH PIG 10Y STR RYE6P,426.81,3   B,3.0,B,65.09,64.63,3.0,"CONTAINS: 3BTL EA 750ML 10YR, PIGGYBK BBN & PIGGYBK RYE"
10835,2026-04,171440,14852,850001901116,512128,2026-04-01,2026-04-30,WH PIG PIGGYBK RYE6Y,426.81,3   B,3.0,B,39.09,38.81,3.0,"CONTAINS: 3BTL EA 750ML 10YR, PIGGYBK BBN & PIGGYBK RYE"
10836,2026-04,172540,14852,810080550032,629746,2026-04-01,2026-04-30,WH PIG PIGGYBK BBN6P,426.81,3   B,3.0,B,39.09,38.81,3.0,"CONTAINS: 3BTL EA 750ML 10YR, PIGGYBK BBN & PIGGYBK RYE"
10837,2026-04,14843,14855,810080551855,727856,2026-04-01,2026-04-30,WH PIG 10Y STR BBN6P,309.54,3   B,3.0,B,65.09,64.46,3.0,CONTAINS: 3BTLS EA 10YR STRAIGHT BOURBON  PIGGYBACK & BBN
10838,2026-04,172540,14855,810080550032,629746,2026-04-01,2026-04-30,WH PIG PIGGYBK BBN6P,309.54,3   B,3.0,B,39.09,38.71,3.0,CONTAINS: 3BTLS EA 10YR STRAIGHT BOURBON  PIGGYBACK & BBN
10839,2026-04,14843,14856,810080551855,727856,2026-04-01,2026-04-30,WH PIG 10Y STR BBN6P,103.18,1   B,1.0,B,65.09,64.46,1.0,CONTAINS: 2BTS EA 750ML 10YR STRAIGHT BOURBON & PIGGYBACK
10840,2026-04,172540,14856,810080550032,629746,2026-04-01,2026-04-30,WH PIG PIGGYBK BBN6P,103.18,1   B,1.0,B,39.09,38.71,1.0,CONTAINS: 2BTS EA 750ML 10YR STRAIGHT BOURBON & PIGGYBACK
10841,2026-04,15240,15248,84848100306,23117,2026-04-01,2026-04-30,LAIRDS APPLE JACK,229.0,1   C,1.0,C,19.09,16.87,30.05,CONTAINS: 1C 750ML LAIRDS APPLEJACK/3B 375ML OLD FASHION
10842,2026-04,22160,15248,84848910905,582093,2026-04-01,2026-04-30,LAIRD OLD FASHION12P,229.0,3   B,3.0,B,9.99,8.83,30.05,CONTAINS: 1C 750ML LAIRDS APPLEJACK/3B 375ML OLD FASHION
10843,2026-04,48340,48343,736040019251,400128,2026-04-01,2026-04-30,BROOKLYN GIN 6P,78.27,2   B,2.0,B,32.09,24.32,25.0,CONTAINS: 2BTLS 750ML BROOKLYN GIN & 1BLT 750ML BRKYLN NAVY
10844,2026-04,48540,48343,810098408196,728920,2026-04-01,2026-04-30,BROOKLYN NAVY GIN 6P,78.27,1   B,1.0,B,39.09,29.62,25.0,CONTAINS: 2BTLS 750ML BROOKLYN GIN & 1BLT 750ML BRKYLN NAVY
10845,2026-04,44040,48345,111353308,750065,2026-04-01,2026-04-30,BROOKLYN  718 VOD6P,80.27,1   B,1.0,B,22.09,20.55,6.0,CONTAINS: 2BTLS 750ML BROOKYLN GIN & 1BTLS 750ML 718 VODKA
10846,2026-04,48340,48345,736040019251,400128,2026-04-01,2026-04-30,BROOKLYN GIN 6P,80.27,2   B,2.0,B,32.09,29.85,6.0,CONTAINS: 2BTLS 750ML BROOKYLN GIN & 1BTLS 750ML 718 VODKA
10847,2026-04,22360,55621,84848000354,678233,2026-04-01,2026-04-30,LAIRD LISA LEM 6X4,166.0,1   C,1.0,C,11.99,8.82,59.42,CONTAINS: 2C 1.75L LAIRDS VODKA/1C 355ML LISA LEMONADE
10848,2026-04,55620,55621,84848501103,482939,2026-04-01,2026-04-30,LAIRDS VODKA 80 PET,166.0,2   C,2.0,C,12.79,9.41,59.42,CONTAINS: 2C 1.75L LAIRDS VODKA/1C 355ML LISA LEMONADE
10849,2026-04,22260,55622,8484800027900,663498,2026-04-01,2026-04-30,LAIRD AM MULE 6X4,166.0,1   C,1.0,C,11.99,8.82,59.42,CONTAINS: 2C 1.75L LAIRDS VODKA/1C 355ML AMERICAN MULE
10850,2026-04,55620,55622,84848501103,482939,2026-04-01,2026-04-30,LAIRDS VODKA 80 PET,166.0,2   C,2.0,C,12.79,9.41,59.42,CONTAINS: 2C 1.75L LAIRDS VODKA/1C 355ML AMERICAN MULE
10851,2026-04,55840,55950,84848000170,638465,2026-04-01,2026-04-30,LAIRDS IRISH WH 4Y6P,191.94,2   B,2.0,B,31.99,44.5,-53.98,"CONTAINS: 750ML-2BTL EA LAIRDS 5YR, CORN & IRISH"
10852,2026-04,55940,55950,84848000184,638466,2026-04-01,2026-04-30,LAIRDS BOURBON 5YR6P,191.94,2   B,2.0,B,31.99,44.5,-53.98,"CONTAINS: 750ML-2BTL EA LAIRDS 5YR, CORN & IRISH"
10853,2026-04,56040,55950,84848000194,638467,2026-04-01,2026-04-30,LAIRDS CORN WH 5Y 6P,191.94,2   B,2.0,B,5.0,6.95,-53.98,"CONTAINS: 750ML-2BTL EA LAIRDS 5YR, CORN & IRISH"
10854,2026-04,68940,68946,890409002527,532737,2026-04-01,2026-04-30,DAOU CAB RES 22 6P,298.0,1   C,1.0,C,54.09,43.73,70.54,CONTAINS: CONTAINS:750ML EA-1C CAB RES & 2B CAB PASO
10855,2026-04,877644,68946,890409002398,579161,2026-04-01,2026-04-30,DAOU CAB PASO 23,298.0,2   B,2.0,B,22.0,17.78,70.54,CONTAINS: CONTAINS:750ML EA-1C CAB RES & 2B CAB PASO
10856,2026-04,151340,151342,851460002253,491752,2026-04-01,2026-04-30,WHPIG 12Y OLDWORLD6P,417.54,3   B,3.0,B,100.09,100.09,0.0,"CONTAINS: 3BTLS-750ML EACH,WHISTLE PIG 12YR & PIGGYBK RYE6P"
10857,2026-04,171440,151342,850001901116,512128,2026-04-01,2026-04-30,WH PIG PIGGYBK RYE6Y,417.54,3   B,3.0,B,39.09,39.09,0.0,"CONTAINS: 3BTLS-750ML EACH,WHISTLE PIG 12YR & PIGGYBK RYE6P"
10858,2026-04,151340,151343,851460002253,491752,2026-04-01,2026-04-30,WHPIG 12Y OLDWORLD6P,139.18,1   B,1.0,B,100.09,100.09,0.0,"CONTAINS: 1BTLS-750ML EACH,WHISTLE PIG 12YR & PIGGYBK RYE6P"
10859,2026-04,171440,151343,850001901116,512128,2026-04-01,2026-04-30,WH PIG PIGGYBK RYE6Y,139.18,1   B,1.0,B,39.09,39.09,0.0,"CONTAINS: 1BTLS-750ML EACH,WHISTLE PIG 12YR & PIGGYBK RYE6P"
10860,2026-04,151340,151344,851460002253,491752,2026-04-01,2026-04-30,WHPIG 12Y OLDWORLD6P,534.81,3   B,3.0,B,100.09,100.09,0.0,CONTAINS: 3BTL EA 750ML 12Y OLD WORLD & PIGGYBK BBN & RYE
10861,2026-04,171440,151344,850001901116,512128,2026-04-01,2026-04-30,WH PIG PIGGYBK RYE6Y,534.81,3   B,3.0,B,39.09,39.09,0.0,CONTAINS: 3BTL EA 750ML 12Y OLD WORLD & PIGGYBK BBN & RYE
10862,2026-04,172540,151344,810080550032,629746,2026-04-01,2026-04-30,WH PIG PIGGYBK BBN6P,534.81,3   B,3.0,B,39.09,39.09,0.0,CONTAINS: 3BTL EA 750ML 12Y OLD WORLD & PIGGYBK BBN & RYE
10863,2026-04,48430,155232,0,638568,2026-04-01,2026-04-30,TEQ OCHO PLATA 6P,127.09,2   B,2.0,B,49.08,43.59,15.98,CONTAINS: 2BTL LIT TEQ OCHO PLATA & 1BT LIT MEZ VAGO ELOTE
10864,2026-04,155230,155232,100032469,638589,2026-04-01,2026-04-30,MEZ VAGO ELOTE 6P,127.09,1   B,1.0,B,44.91,39.89,15.98,CONTAINS: 2BTL LIT TEQ OCHO PLATA & 1BT LIT MEZ VAGO ELOTE
10865,2026-04,154940,155250,850064929065,776914,2026-04-01,2026-04-30,MEZ VAGO MANANTIAL6P,90.0,1   B,1.0,B,31.99,24.4,27.99,"CONTAINS: 1B LIT MEZCAL VAGO ELOTE,1BT 750ML MANTL&1B ESPAD"
10866,2026-04,155230,155250,100032469,638589,2026-04-01,2026-04-30,MEZ VAGO ELOTE 6P,90.0,1   B,1.0,B,44.91,34.25,27.99,"CONTAINS: 1B LIT MEZCAL VAGO ELOTE,1BT 750ML MANTL&1B ESPAD"
10867,2026-04,155540,155250,856847004509,638586,2026-04-01,2026-04-30,MEZ VAGO ESPAD JB 6P,90.0,1   B,1.0,B,41.09,31.34,27.99,"CONTAINS: 1B LIT MEZCAL VAGO ELOTE,1BT 750ML MANTL&1B ESPAD"
10868,2026-04,159140,159342,39383012089,725841,2026-04-01,2026-04-30,BUBBAS PANCAKE WHY6P,141.99,3   B,3.0,B,16.69,15.77,8.22,"CONTAINS: 3BTS EA 750ML BUBBA BURNT, PANCAKE & MALLOW CHOC"
10869,2026-04,159340,159342,39383011747,602640,2026-04-01,2026-04-30,BUBBAS B SUGAR WHY6P,141.99,3   B,3.0,B,16.69,15.77,8.22,"CONTAINS: 3BTS EA 750ML BUBBA BURNT, PANCAKE & MALLOW CHOC"
10870,2026-04,159640,159342,39383011860,602641,2026-04-01,2026-04-30,BUBBAS MAR CHOC WH6P,141.99,3   B,3.0,B,16.69,15.77,8.22,"CONTAINS: 3BTS EA 750ML BUBBA BURNT, PANCAKE & MALLOW CHOC"
10871,2026-04,159140,159343,39383012089,725841,2026-04-01,2026-04-30,BUBBAS PANCAKE WHY6P,96.99,3   B,3.0,B,16.69,16.16,3.15,CONTAINS: 3BT- EA 750ML BUBBA'S BURNT WHISKY & PANCAKE WHSK
10872,2026-04,159340,159343,39383011747,602640,2026-04-01,2026-04-30,BUBBAS B SUGAR WHY6P,96.99,3   B,3.0,B,16.69,16.16,3.15,CONTAINS: 3BT- EA 750ML BUBBA'S BURNT WHISKY & PANCAKE WHSK
10873,2026-04,162040,160043,87236700805,599154,2026-04-01,2026-04-30,BRUCHLAD PC 10YR 6P,330.54,3   B,3.0,B,64.09,57.6,37.2,CONTAINS: 3BT EA-750ML BRUICHLADDICH SCOT BAR & PORT CHARL
10874,2026-04,164440,160043,87236700386,599105,2026-04-01,2026-04-30,BRUCHLAD CLS LADD 6P,330.54,3   B,3.0,B,58.49,52.57,37.2,CONTAINS: 3BT EA-750ML BRUICHLADDICH SCOT BAR & PORT CHARL
10875,2026-04,165020,165042,81753840426,701439,2026-04-01,2026-04-30,GLENMO 12YEAR 4PK,284.18,2   B,2.0,B,89.09,72.22,66.36,"CONTAINS: GLENMO 12YR 4 BTL 750ML, 2 BTL 1.75L"
10876,2026-04,165040,165042,81753839949,701439,2026-04-01,2026-04-30,GLENMO 12YEAR 6P,284.18,4   B,4.0,B,43.09,34.93,66.36,"CONTAINS: GLENMO 12YR 4 BTL 750ML, 2 BTL 1.75L"
10877,2026-04,171440,172541,850001901116,512128,2026-04-01,2026-04-30,WH PIG PIGGYBK RYE6Y,78.18,1   B,1.0,B,39.09,39.09,0.0,"CONTAINS: 1BTL-750ML EACH,WHISTLEPIG BOURBON & PIGGYBK RY2P"
