id,month,abg_sku,rip_code,upc,brand,valid_from,valid_to,description,tier1_unit,tier1_qty,tier1_rebate,tier2_unit,tier2_qty,tier2_rebate,comments
58937,2026-04,8184240,100027,860177001138,550260,2026-04-01,2026-04-30,ANTEEL TEQUILA,Bottles,3.0,6.0,Case(s),1.0,21.0,750ML
58938,2026-04,8184240,100027,860177001138,550260,2026-04-01,2026-04-30,ANTEEL TEQUILA,Case(s),3.0,108.0,,0.0,0.0,750ML
58939,2026-04,8184340,100027,860177001145,550262,2026-04-01,2026-04-30,ANTEEL TEQUILA,Bottles,3.0,6.0,Case(s),1.0,21.0,750ML
58940,2026-04,8184340,100027,860177001145,550262,2026-04-01,2026-04-30,ANTEEL TEQUILA,Case(s),3.0,108.0,,0.0,0.0,750ML
58941,2026-04,8184440,100027,860177001145,550262,2026-04-01,2026-04-30,ANTEEL TEQUILA,Bottles,3.0,6.0,Case(s),1.0,21.0,750ML
58942,2026-04,8184440,100027,860177001145,550262,2026-04-01,2026-04-30,ANTEEL TEQUILA,Case(s),3.0,108.0,,0.0,0.0,750ML
58943,2026-04,5458040,100030,860006049515,741688,2026-04-01,2026-04-30,NEW ENGLAND BARREL SMALL BATCH SELECT BOURBON WHISKEY,Bottles,3.0,18.0,Case(s),1.0,49.0,750ML
58944,2026-04,5458140,100031,860006049539,741689,2026-04-01,2026-04-30,NEW ENGLAND BARREL SMALL BATCH 100PR BOURBON WHISKEY,Bottles,3.0,8.0,Case(s),1.0,27.0,750ML
58945,2026-04,1023040,100035,810098402903,638119,2026-04-01,2026-04-30,LOBOS 1707 ANEJO 6PK,Case(s),1.0,36.0,Case(s),3.0,216.0,700ML
58946,2026-04,4237547,100049,93947189,673581,2026-04-01,2026-04-30,MELKA CJ CABERNET SAUVIGNON,Case(s),1.0,80.0,,0.0,0.0,750ML
58947,2026-04,3230520,100054,10026964690269,745950,2026-04-01,2026-04-30,FLOR DE CANA 4 YEAR OLD GOLD & WHITE,Case(s),1.0,10.0,Case(s),3.0,50.0,1.75L & 750ML
58948,2026-04,3230540,100054,10026964177197,745950,2026-04-01,2026-04-30,FLOR DE CANA 4 YEAR OLD GOLD & WHITE,Case(s),1.0,10.0,Case(s),3.0,50.0,1.75L & 750ML
58949,2026-04,3230620,100054,26964194425,632315,2026-04-01,2026-04-30,FLOR DE CANA 4 YEAR OLD GOLD & WHITE,Case(s),1.0,10.0,Case(s),3.0,50.0,1.75L & 750ML
58950,2026-04,3230640,100054,26964904291,632315,2026-04-01,2026-04-30,FLOR DE CANA 4 YEAR OLD GOLD & WHITE,Case(s),1.0,10.0,Case(s),3.0,50.0,1.75L & 750ML
58951,2026-04,3230040,100055,10026964852742,745949,2026-04-01,2026-04-30,FLOR DE CANA 7 YEAR OLD GRAN RESERVA   EXCLUDES COMBOS,Case(s),1.0,24.0,,0.0,0.0,750ML
58952,2026-04,1243140,100124,7500462535308,558109,2026-04-01,2026-04-30,CAMPANTE MEZCAL,Case(s),1.0,12.0,,0.0,0.0,750ML
58953,2026-04,1001940,100128,860010268902,743649,2026-04-01,2026-04-30,AMANTE AMARO 1530,Case(s),1.0,12.0,,0.0,0.0,750ML
58954,2026-04,5200240,100129,811611006004,558880,2026-04-01,2026-04-30,NASIAKOS WINES,Case(s),2.0,10.0,Case(s),3.0,20.0,750ML
58955,2026-04,5200240,100129,811611006004,558880,2026-04-01,2026-04-30,NASIAKOS WINES,Case(s),5.0,50.0,,0.0,0.0,750ML
58956,2026-04,5200241,100129,811611006004,558880,2026-04-01,2026-04-30,NASIAKOS WINES,Case(s),2.0,10.0,Case(s),3.0,20.0,750ML
58957,2026-04,5200241,100129,811611006004,558880,2026-04-01,2026-04-30,NASIAKOS WINES,Case(s),5.0,50.0,,0.0,0.0,750ML
58958,2026-04,5200442,100129,811611006035,558878,2026-04-01,2026-04-30,NASIAKOS WINES,Case(s),2.0,10.0,Case(s),3.0,20.0,750ML
58959,2026-04,5200442,100129,811611006035,558878,2026-04-01,2026-04-30,NASIAKOS WINES,Case(s),5.0,50.0,,0.0,0.0,750ML
58960,2026-04,5202040,100129,811611006028,558879,2026-04-01,2026-04-30,NASIAKOS WINES,Case(s),2.0,10.0,Case(s),3.0,20.0,750ML
58961,2026-04,5202040,100129,811611006028,558879,2026-04-01,2026-04-30,NASIAKOS WINES,Case(s),5.0,50.0,,0.0,0.0,750ML
58962,2026-04,5202045,100129,811611006028,558879,2026-04-01,2026-04-30,NASIAKOS WINES,Case(s),2.0,10.0,Case(s),3.0,20.0,750ML
58963,2026-04,5202045,100129,811611006028,558879,2026-04-01,2026-04-30,NASIAKOS WINES,Case(s),5.0,50.0,,0.0,0.0,750ML
58964,2026-04,5202142,100129,811611006011,558881,2026-04-01,2026-04-30,NASIAKOS WINES,Case(s),2.0,10.0,Case(s),3.0,20.0,750ML
58965,2026-04,5202142,100129,811611006011,558881,2026-04-01,2026-04-30,NASIAKOS WINES,Case(s),5.0,50.0,,0.0,0.0,750ML
58966,2026-04,5202143,100129,811611006011,558881,2026-04-01,2026-04-30,NASIAKOS WINES,Case(s),2.0,10.0,Case(s),3.0,20.0,750ML
58967,2026-04,5202143,100129,811611006011,558881,2026-04-01,2026-04-30,NASIAKOS WINES,Case(s),5.0,50.0,,0.0,0.0,750ML
58968,2026-04,884140,100130,811611000057,558869,2026-04-01,2026-04-30,ZACHARIAS VINEYARD,Case(s),3.0,6.0,Case(s),5.0,20.0,750ML
58969,2026-04,884140,100130,811611000057,558869,2026-04-01,2026-04-30,ZACHARIAS VINEYARD,Case(s),10.0,50.0,,0.0,0.0,750ML
58970,2026-04,884141,100130,811611000057,558869,2026-04-01,2026-04-30,ZACHARIAS VINEYARD,Case(s),3.0,6.0,Case(s),5.0,20.0,750ML
58971,2026-04,884141,100130,811611000057,558869,2026-04-01,2026-04-30,ZACHARIAS VINEYARD,Case(s),10.0,50.0,,0.0,0.0,750ML
58972,2026-04,884146,100130,811611000057,558869,2026-04-01,2026-04-30,ZACHARIAS VINEYARD,Case(s),3.0,6.0,Case(s),5.0,20.0,750ML
58973,2026-04,884146,100130,811611000057,558869,2026-04-01,2026-04-30,ZACHARIAS VINEYARD,Case(s),10.0,50.0,,0.0,0.0,750ML
58974,2026-04,5235740,100130,811611000132,558868,2026-04-01,2026-04-30,ZACHARIAS VINEYARD,Case(s),3.0,6.0,Case(s),5.0,20.0,750ML
58975,2026-04,5235740,100130,811611000132,558868,2026-04-01,2026-04-30,ZACHARIAS VINEYARD,Case(s),10.0,50.0,,0.0,0.0,750ML
58976,2026-04,5245740,100130,811611000088,558870,2026-04-01,2026-04-30,ZACHARIAS VINEYARD,Case(s),3.0,6.0,Case(s),5.0,20.0,750ML
58977,2026-04,5245740,100130,811611000088,558870,2026-04-01,2026-04-30,ZACHARIAS VINEYARD,Case(s),10.0,50.0,,0.0,0.0,750ML
58978,2026-04,5245746,100130,811611000088,558870,2026-04-01,2026-04-30,ZACHARIAS VINEYARD,Case(s),3.0,6.0,Case(s),5.0,20.0,750ML
58979,2026-04,5245746,100130,811611000088,558870,2026-04-01,2026-04-30,ZACHARIAS VINEYARD,Case(s),10.0,50.0,,0.0,0.0,750ML
58980,2026-04,7385140,100131,811611000200,558872,2026-04-01,2026-04-30,LOUKATOS MAVRODAPHNE,Case(s),3.0,9.0,Case(s),5.0,20.0,750ML
58981,2026-04,7385140,100131,811611000200,558872,2026-04-01,2026-04-30,LOUKATOS MAVRODAPHNE,Case(s),10.0,50.0,,0.0,0.0,750ML
58982,2026-04,889040,100132,811611014009,558874,2026-04-01,2026-04-30,"LOUKATOS   MASTIC, OUZO LIQUEUR, TENTOURA, RAKOMELO HONEY BRANDY, TSIPOURO",Case(s),1.0,10.0,Case(s),2.0,24.0,750ML
58983,2026-04,2577040,100132,811611014078,558873,2026-04-01,2026-04-30,"LOUKATOS   MASTIC, OUZO LIQUEUR, TENTOURA, RAKOMELO HONEY BRANDY, TSIPOURO",Case(s),1.0,10.0,Case(s),2.0,24.0,750ML
58984,2026-04,2577140,100132,811611014092,558876,2026-04-01,2026-04-30,"LOUKATOS   MASTIC, OUZO LIQUEUR, TENTOURA, RAKOMELO HONEY BRANDY, TSIPOURO",Case(s),1.0,10.0,Case(s),2.0,24.0,750ML
