rip_upc,item_id,item_code,match_method,match_score,rip_description,item_description,has_po_history
1,14810,1,upc_user_rule,1.0,TAITTINGER AND CAKEBREAD   4312062 6 BTL EA 375ML COMBO,GLASS TUMBLER COLOR 11OZ,1
10026964177197,15361,2696433422,desc_match,0.8,FLOR DE CANA 4 YEAR OLD GOLD & WHITE 1.75L & 750ML,FLOR DE CANA 5 YEAR RUM,1
10026964690269,15361,2696433422,desc_match,0.8,FLOR DE CANA 4 YEAR OLD GOLD & WHITE 1.75L & 750ML,FLOR DE CANA 5 YEAR RUM,1
10026964852742,15361,2696433422,desc_match,0.8,FLOR DE CANA 7 YEAR OLD GRAN RESERVA   EXCLUDES COMBOS 750ML,FLOR DE CANA 5 YEAR RUM,1
10080686009815,22068,5588000842,desc_match,1.0,ON THE ROCKS 750ML,ON THE ROCKS EXPRESSO MARTINI ,1
100834720,22694,8130800443,desc_match,1.0,"TRIBUTE, IMAGERY, BENZIGER   TRIBUTE PASO ROBLES CABERNET SAUVIGNON IMAGERY MONTEREY COUNTY PINOT NOIR BENZIGER RUNNING WILD CHARDONNAY 750ML",IMAGERY PINOT NOIR 750 ML ,1
10086003255132,22596,8600325513,desc_match,1.0,THE PRISONER CHARDONNAY   6PK = 1/2 CASE 750ML,THE PRISONER CHARDONNAY ,1
10087236210462,1394,8144057006,desc_match,1.0,METAXA 12 STAR 750ML,METAXA 5 STAR,1
102904948,21792,1613602792,desc_match,0.75,"LOBOS 1707   INCLUDES:EXTRA ANEJO,JOVEN,REPOSADO & MEZCAL MIX AND MATCH INCLUDES:COMBOS 1020046-LOBOS 1707 JOVEN12PK 750ML,700ML & 375ML",TEQUILA LOBOS EXTRA ANEJO  ,1
10465208903,1645,1046520890,upc_user_rule,1.0,PHELPS NAPA CABERNET SAUVIGNON 750ML,JOSEPH PHELPS  CAB NAPA,1
10465709608,1397,1046570960,upc_user_rule,1.0,PHELPS INSIGNIA 750ML,JOSEPH PHELPS INSIGNIA,1
105336771,10846,8308520092,desc_match,0.75,EMMOLO NAPA VALLEY MERLOT 750ML,FRANCISCAN MERLOT NAPA VALLEY,1
105834422,22910,9388864341,desc_match,1.0,"ALB VODKA 6P CONTAINS: ALB VOD 3 BTL LITER, 1 CS BARRIT 7.5OZ",ALB VODKA 1.75 LT ,1
106196282,24379,8254499219,desc_match,0.75,"OLD VINE RANCH   INCLUDES:LOT 75, CABERNET SAUVIGNON,ROSE & SAUVIGNON BLANC 750ML",OLD SOUL SAUVIGNON BLANC ,1
10744607102817,8144,4460706320,desc_match,0.75,EL JIMADOR TEQUILA LARGE SIZES,EL JIMADOR  ANEJO  TEQUILA,1
